identificador,tipo_de_subasta,cuenta_expediente,fecha_de_inicio,fecha_de_conclusion,cantidad_reclamada,anuncio_BOE,valor_subasta,tasacion,puja_minima,tramos_entre_pujas,importe_del_deposito,direccion,codigo_postal,localidad,provincia,puja,pm2,difference,prediccion_puja
SUB-JA-2022-204190,JUDICIAL EN VÍA DE APREMIO,1994 0000 05 0024 14,17-11-2022,07-12-2022,36598,BOE-B-2022-35267,116198,0,0,2323,5809,Avenida La Almunia 86,22400,Monzon,Huesca,81338,952,79600,56103
SUB-JA-2022-203179,JUDICIAL EN VÍA DE APREMIO,0223 0000 06 1910 21,17-11-2022,07-12-2022,73990,BOE-B-2022-35228,141320,0,0,2826,7066,C HELSINKI,4117,SAN ISIDRO- NÍJAR-,Almería,5652,799,67330,75629
SUB-JA-2022-204053,JUDICIAL EN VÍA DE APREMIO,4355 0000 05 0528 20,17-11-2022,07-12-2022,240000,BOE-B-2022-35232,70693,0,0,1413,3534,AV SANTS PATRONS 6 Pl:EN Pt:03,46600,ALZIRA,Valencia/València,60796,823,-169307,24643
SUB-JA-2022-199722,JUDICIAL EN VÍA DE APREMIO,0033 0000 06 1396 20,17-11-2022,07-12-2022,118824,BOE-B-2022-35224,257500,0,0,5150,12875,"c/ Juan Sebastián Elcano, 48-5C",2005,ALBACETE,Albacete,77250,1604,138676,124882
SUB-JA-2022-204132,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0168 21,17-11-2022,07-12-2022,83205,BOE-B-2022-35261,351319,0,200,7026,17565,"Calle Santa Lucia, 3 - Piso: 1 - Puerta: EXT",28004,Madrid,Madrid,316387,5998,268114,281439
SUB-JA-2022-204164,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0163 21,17-11-2022,07-12-2022,61749,BOE-B-2022-35260,103600,0,0,2072,5180,CALLE SAN MARIANO Nº 106 4ºC,28022,MADRID,Madrid,99456,3050,41851,85559
SUB-JA-2022-204180,JUDICIAL EN VÍA DE APREMIO,4355 0000 06 0781 21,17-11-2022,07-12-2022,23194,BOE-B-2022-35233,205457,0,0,4109,10272,AVENIDA SOBIRANIA NACIONAL,46600,ALZIRA,Valencia/València,78073,823,182263,79489
SUB-JA-2021-183890,JUDICIAL EN VÍA DE APREMIO,3522 0000 06 0167 19,17-11-2022,07-12-2022,38203,BOE-B-2022-35274,73889,0,0,1477,3694,63 CALLE DOCTOR MARAÑON,35110,VECINDARIO,Las Palmas,56156,1295,35686,47665
SUB-JA-2022-194052,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0100 15,15-11-2022,06-12-2022,78553,BOE-B-2022-35067,199337,0,0,0,9966,"CALLE CULLERA Nº 16, 11ºA ,FINCA REGISTRAL136275",28047,MADRID,Madrid,95501,1721,120784,98752
SUB-JA-2022-203818,JUDICIAL EN VÍA DE APREMIO,3814 0000 06 0277 19,15-11-2022,06-12-2022,33914,BOE-B-2022-35020,68000,0,0,1360,3400,"C/EL DRAGO Nº1, 1º, PTA. 122",38679,ADEJE,Santa Cruz de Tenerife,134640,3500,34086,68995
SUB-JA-2022-204306,JUDICIAL EN VÍA DE APREMIO,1381 0000 64 0024 21,15-11-2022,06-12-2022,46147,BOE-B-2022-35125,168540,168540,0,0,8427,CARRETERA DE CARRION,13000,CIUDAD REAL,Ciudad Real,75000,1432,122393,79336
SUB-JA-2022-203898,JUDICIAL EN VÍA DE APREMIO,3286 0000 06 0305 21,15-11-2022,05-12-2022,69239,BOE-B-2022-35048,118995,0,0,2379,5949,"CL BELMONE DE MIRANDA, 6, 9º IZDA.",33206,GIJON,Asturias,123754,1721,49756,77734
SUB-JV-2022-203217,JUDICIAL VOLUNTARIA,3961 0000 05 0510 17,15-11-2022,05-12-2022,0,BOE-B-2022-35035,107000,0,53000,2140,5350,C/ Doñana Ana nº 3.,41130,Puebal del Rio,Sevilla,53000,1721,107000,76858
SUB-JA-2022-199565,JUDICIAL EN VÍA DE APREMIO,1922 0000 06 1174 16,15-11-2022,05-12-2022,162486,BOE-B-2022-35053,354250,0,0,7085,17712,"PLAZA DE LA SOLEDAD, PORTAL 1, PLANTA 5, PUERTA A",21004,HUELVA,Huelva,7085,1721,191764,168922
SUB-JA-2022-202995,JUDICIAL EN VÍA DE APREMIO,3944 0000 06 0015 21,15-11-2022,05-12-2022,118196,BOE-B-2022-35054,100104,0,0,2002,5005,CARRETERA DE ZARAGOZA 5,22270,ALMUDEVAR,Huesca,50052,1721,-18092,80363
SUB-JA-2022-201271,JUDICIAL EN VÍA DE APREMIO,3809 0000 05 0066 20,15-11-2022,05-12-2022,163350,BOE-B-2022-35098,163350,163350,0,3267,8167,"calle Santa Rosa de Lima n.º 16, 3ª planta, puerta C",38002,Santa Cruz de Tenerife,Santa Cruz de Tenerife,147015,1721,0,120004
SUB-JA-2022-199101,JUDICIAL EN VÍA DE APREMIO,0847 0000 06 0801 17,15-11-2022,05-12-2022,16987,BOE-B-2022-35096,85000,0,0,1700,4250,"AVENIDA DEL FERROCARRIL Nº 89, HOY Nº 1",8620,SANT VICENÇ DELS HORTS,Barcelona,44200,1721,68013,55838
SUB-JA-2022-204004,JUDICIAL EN VÍA DE APREMIO,5096 0000 06 2110 11,15-11-2022,05-12-2022,54860,BOE-B-2022-35015,93600,0,0,1872,4680,Los Bazanes numero 18,4510,Abla,Almería,46800,570,38740,53703
SUB-JA-2018-93539,JUDICIAL EN VÍA DE APREMIO,3952 0000 06 1205 13,15-11-2022,05-12-2022,48377,BOE-B-2022-35095,165760,0,0,0,8288,C/ DE LA CRUZ Nº 38,41830,HUEVAR DEL ALJARAFE,Sevilla,82880,722,117383,74278
SUB-JA-2022-201982,JUDICIAL EN VÍA DE APREMIO,4985 0000 06 0035 20,15-11-2022,05-12-2022,186934,BOE-B-2022-35055,265690,265690,0,5313,13284,"calle Ficus edificio 5 y 5A, planta baja 1",7400,ALCUDIA,Illes Balears,196610,2743,78756,171852
SUB-JA-2022-204189,JUDICIAL EN VÍA DE APREMIO,2696 0000 06 0076 20,15-11-2022,05-12-2022,70759,BOE-B-2022-35094,289241,0,0,5784,14462,"CALLE GOBERNADOR, 4 , 3º A",28200,SAN LORENZO DE EL ESCORIAL,Madrid,167760,2389,218482,136830
SUB-JA-2022-203918,JUDICIAL EN VÍA DE APREMIO,5049 0000 05 0118 21,15-11-2022,05-12-2022,42789,BOE-B-2022-35114,65642,0,0,1312,3282,Calle Lope de Vega 2,31590,CASTEJON,Navarra,59078,796,22853,48026
SUB-JA-2022-203311,JUDICIAL EN VÍA DE APREMIO,0737 0000 06 0079 20,15-11-2022,05-12-2022,195833,BOE-B-2022-35050,397660,0,0,7953,19883,"av de Canovelles, 12, atc 1ª",8420,Canovelles,Barcelona,190876,1533,201827,208377
SUB-JA-2022-199467,JUDICIAL EN VÍA DE APREMIO,2018 0000 05 0758 19,15-11-2022,05-12-2022,55334,BOE-B-2022-35017,66111,0,0,1322,3305,número 12 de la calle Antonio Mendoza de Andújar,23740,ANDUJAR,Jaén,60822,720,10777,51001
SUB-JA-2022-196110,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0054 21,15-11-2022,05-12-2022,216234,BOE-B-2022-35069,291450,0,0,5829,14572,"Plaza de San Vicente de Paul, Nº 2, ; 4º izquierda",28025,MADRID,Madrid,122409,2254,75216,193045
SUB-JA-2022-203353,JUDICIAL EN VÍA DE APREMIO,4919 0000 06 0688 20,15-11-2022,05-12-2022,128170,BOE-B-2022-35121,192142,0,0,3842,9607,"CALLE LA RIPA, Nº 5, 4º D",50006,ZARAGOZA,Zaragoza,99913,2222,63972,107810
SUB-JA-2020-159623,JUDICIAL EN VÍA DE APREMIO,1169 0000 06 0141 18,15-11-2022,05-12-2022,25187,BOE-B-2022-35083,60973,0,0,1219,3048,"CALLE BLASCO IBAÑEZ NÚM.3, 1ºF",10600,PLASENCIA,Cáceres,25608,933,35786,38100
SUB-JA-2022-202393,JUDICIAL EN VÍA DE APREMIO,0183 0000 06 0754 20,15-11-2022,05-12-2022,49526,BOE-B-2022-35077,117032,0,0,2340,5851,"CALLE VIRGEN DEL ROSARIO 3B, PT 6B,",3179,FORMENTERA DEL SEGURA,Alicante/Alacant,37450,925,67506,62641
SUB-JV-2022-203705,JUDICIAL VOLUNTARIA,1166 0000 04 0954 17,15-11-2022,05-12-2022,0,BOE-B-2022-35122,45922,0,27553,2000,2296,"URBANIZACIÓN VIZCONDE DE ESCORIAZA Nº 14, PISO 2, DERECHA",50002,ZARAGOZA,Zaragoza,41553,1579,45922,46441
SUB-JA-2022-201253,JUDICIAL EN VÍA DE APREMIO,2394 0000 06 0148 21,15-11-2022,05-12-2022,103280,BOE-B-2022-35058,162100,0,0,3242,8105,PLAZA DE LA FLOR 3 4A,28914,LEGANES,Madrid,87534,2515,58820,102561
SUB-JA-2022-196692,JUDICIAL EN VÍA DE APREMIO,1283 0000 05 0597 19,15-11-2022,05-12-2022,97778,BOE-B-2022-35092,218685,0,0,4373,10934,"Urbana 12, planta segunda, letra D, tipo D, Edificio calle Servando Camuñez, 20-2º-D, en el lugar conocido como Pozo Bernabe",11100,San Fernando,Cádiz,26242,1432,120907,115195
SUB-JA-2022-202881,JUDICIAL EN VÍA DE APREMIO,0097 0000 06 1474 20,15-11-2022,05-12-2022,115211,BOE-B-2022-35013,181250,0,0,3625,9062,"AVENIDA JAIME I EL CONQUISTADOR Nº 7, PLANTA 4ª PUERTA 5",3560,EL CAMPELLO,Alicante/Alacant,155875,2077,66039,99132
SUB-JA-2022-203243,JUDICIAL EN VÍA DE APREMIO,0250 0000 06 0179 21,15-11-2022,05-12-2022,25502,BOE-B-2022-35039,66184,0,0,1323,3309,"Calle San Sebastián de los Reyes, 48- Pl. 1 Pta.",4710,"Santa Maria del Aguila , El Ejido",Almería,27797,807,40682,34074
SUB-JA-2022-202691,JUDICIAL EN VÍA DE APREMIO,3544 0000 06 0246 21,15-11-2022,05-12-2022,83086,BOE-B-2022-35057,118925,0,0,2378,5946,"C/ GENERAL MAS DE GAMINDE, Nº 30, 3º",35006,LAS PALMAS DE GRAN CANARIA,Las Palmas,114168,2738,35839,98593
SUB-JA-2022-198326,JUDICIAL EN VÍA DE APREMIO,4902 0000 05 0271 19,15-11-2022,05-12-2022,1860,BOE-B-2022-35120,77947,77947,0,1558,3897,"CALLE SANGENIS Nº 16. 2º DCHA, 3ª PLANTA",50010,ZARAGOZA,Zaragoza,38973,1660,76087,44299
SUB-JC-2022-201136,JUDICIAL CONCURSAL,2106 0000 52 0942 20,03-11-2022,04-12-2022,425785,BOE-B-2022-33752,91937,0,64356,1838,4596,"Avda San Antonio Abad 35, 1ª pta 11",46210,PICAÑA,Valencia/València,79066,1721,-333848,99844
SUB-JA-2022-203350,JUDICIAL EN VÍA DE APREMIO,4513 0000 15 0539 18,10-11-2022,01-12-2022,1055,BOE-B-2022-34565,88450,88450,0,0,4422,C/. MOLINELL Nº 23-2º-8ª,46010,VALENCIA,Valencia/València,103001,2568,87395,76408
SUB-JA-2022-203158,JUDICIAL EN VÍA DE APREMIO,2988 0000 06 0482 21,10-11-2022,01-12-2022,7337,BOE-B-2022-34555,31553,0,0,631,1577,"C. PANTANO DE YESA, Nº 5, 2º D",50015,ZARAGOZA,Zaragoza,32815,1695,24216,22339
SUB-JV-2022-203480,JUDICIAL VOLUNTARIA,4680 0000 05 0810 20,10-11-2022,01-12-2022,0,BOE-B-2022-34500,66165,0,0,0,3308,DOCTOR FERRAN 12 3ºE,48980,SANTURTZI,Bizkaia,81002,2381,66165,68346
SUB-JA-2022-203425,JUDICIAL EN VÍA DE APREMIO,4859 0000 06 0670 20,11-11-2022,01-12-2022,101133,BOE-B-2022-34698,139056,0,0,2781,6952,URB LA CUMBRE DEL SOL 19 CALLE MURILLO,3726,BENITACHELL,Alicante/Alacant,94558,2018,37923,88758
SUB-JA-2020-162095,JUDICIAL EN VÍA DE APREMIO,4536 0000 05 0652 19,11-11-2022,01-12-2022,24896,BOE-B-2022-34733,65000,0,100,1300,3250,CALLE TRASLACION 22 2ª,46940,MANISES,Valencia,52100,1193,40104,36600
SUB-JA-2022-201726,JUDICIAL EN VÍA DE APREMIO,3519 0000 06 0140 15,11-11-2022,01-12-2022,137727,BOE-B-2022-34737,284944,0,0,5698,14247,"Finca NÚMERO 50.- PISO TERCERO DERECHA.- Vivienda en laplanta de su denominación, a la derecha de la misma según se sube por la escalera del bloquecuarto",35280,SANTA LUCIA DE TIRAJANA,Las Palmas,188063,1502,147217,146382
SUB-JA-2022-195106,JUDICIAL EN VÍA DE APREMIO,1913 0000 05 0041 10,11-11-2022,01-12-2022,18261,BOE-B-2022-34714,52775,0,0,1055,2638,"C/ Perdida , num. 45",21520,ALOSNO,Huelva,3166,583,34514,25772
SUB-JA-2022-202075,JUDICIAL EN VÍA DE APREMIO,4528 0000 06 0530 21,11-11-2022,01-12-2022,83948,BOE-B-2022-34695,25550,0,0,511,1277,"Calle Francisco Baixauli 23, tercera planta alta, puerta 3",46910,ALFAFAR,Valencia/València,31171,1054,-58398,39947
SUB-JA-2022-203173,JUDICIAL EN VÍA DE APREMIO,3751 0000 05 0181 21,11-11-2022,01-12-2022,47727,BOE-B-2022-34738,96600,0,0,1932,4830,Camino Barranco Martiño Nº 4 de Tacoronte,38358,Tacoronte,Santa Cruz de Tenerife,59892,1686,48873,65798
SUB-JA-2022-203523,JUDICIAL EN VÍA DE APREMIO,2712 0000 05 0280 21,11-11-2022,01-12-2022,30988,BOE-B-2022-34723,86016,86016,0,1720,4300,"Rúa Otero Pedrayo, n.º 38 - bloque 1 - planta 6.ª - puerta E",27003,LUGO,Lugo,44728,1286,55028,50836
SUB-JA-2022-203630,JUDICIAL EN VÍA DE APREMIO,4147 0000 06 0060 22,11-11-2022,01-12-2022,87148,BOE-B-2022-34715,255888,0,0,5117,12794,"C/ FAYCANES, 38",35009,LAS PALMAS DE G.C.,Las Palmas,117708,2123,168740,117063
SUB-JA-2022-202240,JUDICIAL EN VÍA DE APREMIO,0224 0000 06 0516 20,11-11-2022,01-12-2022,51015,BOE-B-2022-34683,83944,0,0,0,4197,"C/TELEMANN Nº7, PORTAL 1, ESCALERA 1ª, PLANTA 5ª, PUERTA A.",4007,ALMERÍA,Almería,86000,1665,32929,63383
SUB-JA-2022-203719,JUDICIAL EN VÍA DE APREMIO,3118 0000 06 0304 22,11-11-2022,01-12-2022,45716,BOE-B-2022-34747,119040,119040,0,2380,5952,CALLE PERIODISTA Nº 2 2ºA,29620,TORREMOLINOS,Málaga,69043,2589,73324,86819
SUB-JA-2022-199663,JUDICIAL EN VÍA DE APREMIO,4513 0000 25 0267 18,11-11-2022,01-12-2022,129431,BOE-B-2022-34766,231445,0,0,0,11572,C/. DE LA REINA Nº 207-3º-3ª,46011,VALENCIA,Valencia/València,157000,1951,102014,124581
SUB-JA-2022-202991,JUDICIAL EN VÍA DE APREMIO,0062 0000 05 0037 20,10-11-2022,30-11-2022,6953,BOE-B-2022-34515,30679,0,0,0,1533,PASEO DEL PILAR Nº 14 DE YESTE,2480,YESTE,Albacete,22000,842,23726,16626
SUB-JA-2022-200917,JUDICIAL EN VÍA DE APREMIO,0060 0000 06 0076 19,10-11-2022,30-11-2022,58620,BOE-B-2022-34514,99900,0,0,1998,4995,CALLE MIGUEL HERNANDEZ Nº13,2430,ELCHE DE LA SIERRA,Albacete,51948,687,41280,58163
SUB-JA-2022-203143,JUDICIAL EN VÍA DE APREMIO,2277 0000 05 1336 20,10-11-2022,30-11-2022,182600,BOE-B-2022-34546,209000,0,0,4180,10450,"CALLE SAGITARIO Nº 3 , RESIDENCIAL EL GAMONAL , EDIFICIO Nº1 , PLANTA 1ª ALTA VIVIENDA Nº 8",29631,BENALMADENA,Málaga,104500,2406,26400,127533
SUB-JA-2022-201291,JUDICIAL EN VÍA DE APREMIO,0535 0000 06 0915 20,10-11-2022,30-11-2022,853600,BOE-B-2022-34503,1351400,0,0,0,67570,"CALLE REINA VICTORIA, 20 BAJOS",8021,BARCELONA,Barcelona,800500,5795,497800,999478
SUB-JA-2022-203697,JUDICIAL EN VÍA DE APREMIO,0098 0000 06 1205 20,10-11-2022,30-11-2022,98722,BOE-B-2022-34497,123269,0,0,2465,6163,C/BENICHEMBLA Nº 6 3º IZDA DE ALICANTE,3015,ALICANTE,Alicante/Alacant,27119,1155,24547,71417
SUB-JA-2022-203465,JUDICIAL EN VÍA DE APREMIO,4134 0000 06 0638 18,10-11-2022,30-11-2022,118806,BOE-B-2022-34538,137119,0,0,2742,6855,CALLE LUIS MEDINA 2,41840,PILAS,Sevilla,68559,731,18313,80411
SUB-JA-2022-203210,JUDICIAL EN VÍA DE APREMIO,2124 0000 06 0088 19,10-11-2022,30-11-2022,260541,BOE-B-2022-34518,400000,0,0,0,20000,"PARCELA 41, URBANIZACION EL MONTICO",24196,CARBAJAL DE LA LEGUA,León,260541,1097,139459,167969
SUB-JA-2022-203555,JUDICIAL EN VÍA DE APREMIO,2054 0000 05 0926 22,10-11-2022,30-11-2022,47037,BOE-B-2022-34517,91176,0,0,1823,4558,CALLE LADERA,23150,VALDEPEÑAS DE JAEN,Jaén,51058,333,44139,52518
SUB-JA-2022-200674,JUDICIAL EN VÍA DE APREMIO,4038 0000 05 0868 15,10-11-2022,30-11-2022,145114,BOE-B-2022-34542,166731,0,0,3334,8336,"Calle Ciudad de Albarique, nº 11, planta baja puerta 2 o izquierda",41019,sevilla,Sevilla,46684,1265,21617,113869
SUB-JA-2022-202806,JUDICIAL EN VÍA DE APREMIO,2340 0000 06 0137 20,10-11-2022,30-11-2022,163337,BOE-B-2022-34544,126810,0,0,500,6340,"CALLE OLIVOS, 13, PORTAL 6, BLOQUE 1, 1º - 2",28110,ALGETE,Madrid,111500,1750,-36527,91581
SUB-JA-2022-203816,JUDICIAL EN VÍA DE APREMIO,0183 0000 05 1386 19,10-11-2022,30-11-2022,98454,BOE-B-2022-34530,167951,0,0,3359,8397,"AVENIDA AUSTRIA, 33",3190,PILAR DE LA HORADADA,Alicante/Alacant,20154,2085,69497,97249
SUB-JA-2022-203663,JUDICIAL EN VÍA DE APREMIO,0901 0000 06 0119 21,10-11-2022,30-11-2022,60614,BOE-B-2022-34550,126507,0,0,2530,6325,"Calle Economía, 30 3º 1ª",8800,Vilanova i la Geltrú,Barcelona,65783,2576,65893,87435
SUB-JA-2022-203317,JUDICIAL EN VÍA DE APREMIO,4207 0000 05 0456 19,08-11-2022,29-11-2022,22595654,BOE-B-2022-34215,31359742,0,0,627194,1567987,"Carretera de Cadiz, KM 173,5 EL PARAISO, ESTEPONA",29688,ESTEPONA,Málaga,39513274,2972,8764088,8887566
SUB-JV-2022-203726,JUDICIAL VOLUNTARIA,0100 0000 05 1130 21,08-11-2022,29-11-2022,0,BOE-B-2022-34159,76575,76575,0,1531,3828,CALLE HERMANOS SOTO CHAPULI NUMERO UNO,3010,ALICANTE,Alicante/Alacant,90358,1095,76575,41105
SUB-JV-2022-202083,JUDICIAL VOLUNTARIA,2438 0000 05 1237 13,08-11-2022,29-11-2022,82000,BOE-B-2022-34248,82000,82000,0,1640,4100,CALLE PEÑUELAS NÚMERO 4,28005,MADRID,Madrid,127920,4787,0,83274
SUB-JA-2022-202863,JUDICIAL EN VÍA DE APREMIO,0150 0000 06 1709 21,08-11-2022,29-11-2022,15000,BOE-B-2022-34204,490049,0,0,9800,24502,"CALLE PIETER RUBENS 7, PARTIDA DE ABSUBIA",3730,JAVEA,Alicante/Alacant,294029,2518,475049,290284
SUB-JA-2022-203682,JUDICIAL EN VÍA DE APREMIO,1526 0000 05 0207 17,08-11-2022,29-11-2022,9516,BOE-B-2022-34201,42900,0,0,0,2145,"AVDA. DE OZA 181, 3º",15006,A CORUÑA,A Coruña,42000,2325,33384,32744
SUB-JA-2022-203430,JUDICIAL EN VÍA DE APREMIO,3460 0000 05 0232 20,08-11-2022,29-11-2022,177374,BOE-B-2022-34172,177374,0,0,0,8868,CALLE PRINCESA ICO,35510,SAN BARTOLOMÉ,Las Palmas,346005,3272,0,166249
SUB-JV-2022-201711,JUDICIAL VOLUNTARIA,0885 0000 05 0033 16,08-11-2022,28-11-2022,85394,BOE-B-2022-34319,134983,0,0,2699,6749,Calle Antoni Maria Claret 8,8510,RODA DE TER,Barcelona,75590,1307,49589,79077
SUB-JC-2022-201243,JUDICIAL CONCURSAL,3590 0000 54 0121 19,08-11-2022,28-11-2022,144056,BOE-B-2022-34284,120000,0,60000,2400,6000,"COVELMAR, PISO 2º B, COVELO , SAMIEIRA, POIO",36992,POIO,Pontevedra,76800,1938,-24056,93000
SUB-JA-2022-203385,JUDICIAL EN VÍA DE APREMIO,4513 0000 06 1617 21,08-11-2022,28-11-2022,143801,BOE-B-2022-34355,281800,0,0,0,14090,"CALLE ISLAS CANARIAS, Nº. 142 Y 144, PRIMERA PLANTA, PUERTA TRES",46023,VALENCIA,Valencia/València,141000,2238,137999,151769
SUB-JA-2022-203489,JUDICIAL EN VÍA DE APREMIO,4790 0000 05 0306 20,08-11-2022,28-11-2022,296316,BOE-B-2022-34221,143484,0,0,0,7174,CALLE TXORIERRI Nº29 -2 DCHA,48940,LEIOA,Bizkaia,127039,3000,-152832,149494
SUB-JA-2022-197307,JUDICIAL EN VÍA DE APREMIO,2717 0000 06 1090 19,08-11-2022,28-11-2022,66418,BOE-B-2022-34219,254793,0,0,5095,12739,Avda. dels Borrons nº 14-2-6,46770,Xeraco,Valencia/València,76438,1614,188375,108081
SUB-JA-2022-202281,JUDICIAL EN VÍA DE APREMIO,0842 0000 00 0424 09,08-11-2022,28-11-2022,12720,BOE-B-2022-34297,76231,0,0,1524,3811,c/ de Lleó nº 8 planta baja,8800,vilanova i la geltru,Barcelona,6098,2576,63511,46931
SUB-JA-2022-202460,JUDICIAL EN VÍA DE APREMIO,1695 0000 06 0113 20,08-11-2022,28-11-2022,221675,BOE-B-2022-34299,470400,0,0,9408,23520,"Av. Paisos Catalans, 28 1º 6ª Bloque B",17457,Riudellots de la Selva,Girona,244608,1496,248725,136092
SUB-JA-2022-203260,JUDICIAL EN VÍA DE APREMIO,4621 0000 06 0257 17,08-11-2022,28-11-2022,208831,BOE-B-2022-34315,578875,0,0,0,28943,"HUERTA DE LOS MOROS 5,A",47009,VALLADOLID,Valladolid,289437,1637,370044,279752
SUB-JV-2022-203199,JUDICIAL VOLUNTARIA,1871 0000 05 0371 21,08-11-2022,28-11-2022,0,BOE-B-2022-34233,189280,0,0,3785,9464,AVENIDA GIPUZKOA Nº 8,20302,IRUN,Gipuzkoa,136281,2793,189280,173276
SUB-JA-2022-201205,JUDICIAL EN VÍA DE APREMIO,2978 0000 06 0041 21,08-11-2022,28-11-2022,94255,BOE-B-2022-34227,112500,0,0,2250,5625,"C/ Manso de Zúñiga, nº 3 - bl. C, 1ª D",26200,Haro,La Rioja,72000,1000,18245,69073
SUB-JA-2022-203171,JUDICIAL EN VÍA DE APREMIO,0219 0000 05 0250 21,08-11-2022,28-11-2022,203127,BOE-B-2022-34158,181320,0,0,3626,9066,"CALLE Avenida de Benidorm, calle Doctor Ivorra y Avenida 14 de Dicieimbre, número 5",3550,SANT JOAN D'ALACANT,Alicante/Alacant,90660,1591,-21807,108292
SUB-JA-2022-199949,JUDICIAL EN VÍA DE APREMIO,4149 0000 05 0164 17,08-11-2022,28-11-2022,42244,BOE-B-2022-34250,73494,73494,0,1469,3674,"PASEO DE RIAZOR Nº 17, PLANTA 9-PUERTA A",28942,FUENLABRADA,Madrid,23518,2114,31250,61250
SUB-JA-2022-202002,JUDICIAL EN VÍA DE APREMIO,4036 0000 06 1813 18,08-11-2022,28-11-2022,90957,BOE-B-2022-34301,60753,0,0,0,3037,"C/ Antonio Alvarez, s/n 1º A",41860,GERENA,Sevilla,52601,801,-30204,49391
SUB-JA-2022-203368,JUDICIAL EN VÍA DE APREMIO,0099 0000 05 1205 21,08-11-2022,28-11-2022,151046,BOE-B-2022-34160,151046,0,0,3020,7552,CALLE ANA NAVARRO Nº 31-2º-E-,3007,ALICANTE,Alicante/Alacant,72502,1488,0,83512
SUB-JA-2022-196803,JUDICIAL EN VÍA DE APREMIO,1704 0000 06 4660 18,08-11-2022,28-11-2022,84564,BOE-B-2022-34181,128325,0,0,0,6416,"AV. FENALS, 16-18 ESC.A 2º 5ª",17310,LLORET DE MAR,Girona,113883,2286,43761,91840
